TT,Trường,Chỉ tiêu 2024,Nội thành
1,THPT Phan Đình Phùng,675,1
2,THPT Phạm Hồng Thái,675,1
3,THPT Nguyễn Trãi - Ba Đình,675,1
4,THPT Tây Hồ,675,1
5,THPT Chu Văn An,360,1
6,THPT Trần Phú - Hoàn Kiếm,675,1
7,THPT Việt Đức,810,1
8,THPT Thăng Long,675,1
9,THPT Trần Nhân Tông,720,1
10,THPT Đoàn Kết - Hai Bà Trưng,675,1
11,THPT Đống Đa,675,1
12,THPT Kim Liên,675,1
13,THPT Lê Quý Đôn - Đống Đa,675,1
14,THPT Quang Trung - Đống Đa,675,1
15,THPT Nhân Chính,585,1
16,Trần Hưng Đạo - Thanh Xuân,675,1
17,THPT Khương Đình,675,1
18,THPT Khương Hạ,400,1
19,THPT Cầu Giấy,675,1
20,THPT Yên Hòa,675,1
21,THPT Hoàng Văn Thụ,675,1
22,THPT Trương Định,675,1
23,THPT Việt Nam - Ba Lan,675,1
24,THPT Ngô Thì Nhậm,675,0
25,THPT Ngọc Hồi,675,0
26,THPT Đông Mỹ,675,0
27,THPT Nguyễn Quốc Trinh,630,0
28,THPT Nguyễn Gia Thiều,675,1
29,THPT Lý Thường Kiệt,495,1
30,THPT Thạch Bàn,675,1
31,THPT Phúc Lợi,675,1
32,THPT Cao Bá Quát - Gia Lâm,675,0
33,THPT Dương Xá,630,0
34,THPT Nguyễn Văn Cừ,630,0
35,THPT Yên Viên,630,0
36,THPT Đa Phúc,540,0
37,THPT Kim Anh,675,0
38,THPT Minh Phú,495,0
39,THPT Sóc Sơn,675,0
40,THPT Trung Giã,630,0
41,THPT Xuân Giang,540,0
42,THPT Bắc Thăng Long,675,0
43,THPT Cổ Loa,675,0
44,THPT Đông Anh,675,0
45,THPT Liên Hà,675,0
46,THPT Vân Nội,675,0
47,THPT Mê Linh,585,0
48,THPT Quang Minh,540,0
49,THPT Tiền Phong,495,0
50,THPT Tiến Thịnh,495,0
51,THPT Tự Lập,540,0
52,THPT Yên Lãng,495,0
53,THPT Nguyễn Thị Minh Khai,675,1
54,THPT Xuân Đỉnh,675,1
55,THPT Thượng Cát,540,1
56,THPT Đại Mỗ,675,1
57,THPT Trung Văn,675,1
58,THPT Xuân Phương,675,1
59,THPT Mỹ Đình,675,1
60,THPT Hoài Đức A,630,0
61,THPT Hoài Đức B,675,0
62,THPT Vạn Xuân - Hoài Đức,585,0
63,THT Hoài Đức C,495,0
64,THPT Đan Phượng,675,0
65,THPT Hồng Thái,585,0
66,THPT Tân Lập,585,0
67,THPT Thọ Xuân,450,0
67,THPT Ngọc Tảo,675,0
68,THPT Phúc Thọ,675,0
69,THPT Vân Cốc,585,0
70,THPT Tùng Thiện,675,0
71,THPT Xuân Khanh,540,0
72,THPT Sơn Tây,270,0
73,THPT Ba Vì,630,0
74,THPT Bất Bạt,450,0
75,Phổ thông Dân tộc nội trú,140,0
76,THPT Ngô Quyền - Ba Vì,675,0
77,THPT Quảng Oai,675,0
78,THPT Minh Quang,540,0
79,THPT Bắc Lương Sơn,495,0
80,Hai Bà Trưng - Thạch Thất,585,0
81,Phùng Khắc Khoan - Thạch Thất,675,0
82,THPT Thạch Thất,675,0
83,THPT Minh Hà,450,0
84,THPT Cao Bá Quát - Quốc Oai,585,0
85,THPT Minh Khai,675,0
86,THPT Quốc Oai,675,0
87,THPT Phan Huy Chú - Quốc Oai,630,0
88,THPT Lê Quý Đôn - Hà Đông,675,1
89,THPT Quang Trung - Hà Đông,675,1
90,THPT Trần Hưng Đạo - Hà Đông,675,1
91,THPT Chúc Động,675,0
92,THPT Chương Mỹ A,675,0
93,THPT Chương Mỹ B,675,0
94,THPT Xuân Mai,675,0
95,THPT Nguyễn Văn Trỗi,675,0
96,THPT Nguyễn Du - Thanh Oai,675,0
97,THPT Thanh Oai A,630,0
98,THPT Thanh Oai B,675,0
99,THPT Thường Tín,,0
100,THPT Nguyễn Trãi - Thường Tín,540,0
101,THPT Lý Tử Tấn,585,0
102,THPT Tô Hiệu - Thường Tín,585,0
103,THPT Vân Tảo,540,0
104,THPT Đồng Quan,540,0
105,THPT Phú Xuyên A,675,0
106,THPT Phú Xuyên B,675,0
107,THPT Tân Dân,495,0
108,THPT Hợp Thanh,585,0
109,THPT Mỹ Đức A,675,0
110,THPT Mỹ Đức B,630,0
111,THPT Mỹ Đức C,540,0
112,THPT Đại Cường,360,0
113,THPT Lưu Hoàng,450,0
114,THPT Trần Đăng Ninh,540,0
115,THPT Ứng Hòa A,540,0
116,THPT Ứng Hòa B,450,0
